Date,Open,High,Low,Close,Volume,Value,Change,Ticker
2020-06-25,52100,53000,51900,51900,18541624,970494909540,-1.89,005930
2020-06-26,52800,53900,52200,53300,21575360,1146335751523,2.7,005930
2020-06-29,52500,53200,52000,52400,17776925,934880364880,-1.69,005930
2020-06-30,53900,53900,52800,52800,21157172,1129431038800,0.76,005930
2020-07-01,53400,53600,52400,52600,16706143,884144616500,-0.38,005930
2020-07-02,52100,52900,52100,52900,14142583,742668048500,0.57,005930
2020-07-03,53000,53600,52700,53600,11887868,633333112600,1.32,005930
2020-07-06,54000,55000,53800,55000,19856623,1084003637100,2.61,005930
2020-07-07,55800,55900,53400,53400,30760032,1672753640892,-2.91,005930
2020-07-08,53600,53900,52900,53000,19664652,1049005171762,-0.75,005930
2020-07-09,53200,53600,52800,52800,17054850,906942878150,-0.38,005930
2020-07-10,53100,53200,52300,52700,13714746,722449635016,-0.19,005930
2020-07-13,53300,53800,53100,53400,12240188,654721870500,1.33,005930
2020-07-14,53700,53800,53200,53800,14269484,763627089664,0.75,005930
2020-07-15,54400,55000,54300,54700,24051450,1317316063250,1.67,005930
2020-07-16,54800,54800,53800,53800,16779127,909095378660,-1.65,005930
2020-07-17,54200,54700,54100,54400,10096174,549370576992,1.12,005930
2020-07-20,54800,54800,54000,54200,10507530,571387369575,-0.37,005930
2020-07-21,55200,55400,54800,55300,18297260,1009862822645,2.03,005930
2020-07-22,55300,55500,54700,54700,12885057,708749076605,-1.08,005930
2020-07-23,54700,54700,53800,54100,16214932,876160340400,-1.1,005930
2020-07-24,54000,54400,53700,54200,10994535,594537647200,0.18,005930
2020-07-27,54300,55700,54300,55600,21054421,1165206653173,2.58,005930
2020-07-28,57000,58800,56400,58600,48431566,2803148376939,5.4,005930
2020-07-29,60300,60400,58600,59000,36476611,2169959308582,0.68,005930
2020-07-30,59700,60100,59000,59000,19285354,1147803957700,0.0,005930
2020-07-31,59500,59600,57700,57900,21943345,1282932055676,-1.86,005930
2020-08-03,57800,57900,56700,56800,21158940,1209657414100,-1.9,005930
2020-08-04,57200,58100,57000,57300,19419694,1115746295800,0.88,005930
2020-08-05,57300,57500,56300,56900,17739706,1007826798950,-0.7,005930
2020-08-06,57100,58400,57100,58000,21625874,1250813614044,1.93,005930
2020-08-07,57900,58400,57100,57500,18751717,1081791206100,-0.86,005930
2020-08-10,57600,58300,57500,57800,17774291,1029079820059,0.52,005930
2020-08-11,58000,59500,57800,58200,24907912,1462107447200,0.69,005930
2020-08-12,58200,59000,57700,59000,18573934,1083108188236,1.37,005930
